start;end;time
Ring, Volkstheater;Volkstheater;3
Volkstheater;Stiftgasse;1
Stiftgasse;Siebensterngasse;1
Siebensterngasse;Neubaug., Westbahnstr.;2
Neubaug., Westbahnstr.;Zieglergasse;1
Zieglergasse;Kaiserstr., Westbahnstr.;1
Kaiserstr., Westbahnstr.;Urban-Loritz-Platz;3
Urban-Loritz-Platz;Beingasse;1
Beingasse;Schweglerstraße;1
Schweglerstraße;Huglgasse;1
Huglgasse;Johnstraße;2
Johnstraße;Hütteldorfer Straße;2
Hütteldorfer Straße;Breitensee;2
Breitensee;Leyserstraße;1
Leyserstraße;Hütteldorfer Str.,Lützoweg;1
Hütteldorfer Str.,Lützoweg;Seckendorfstraße;2
Seckendorfstraße;Waidhausenstraße;1
Waidhausenstraße;Hochsatzengasse;1
Hochsatzengasse;Baumgarten;1
Baumgarten;Deutschordenstraße;1
Deutschordenstraße;Rettichgasse;1
Rettichgasse;Hütteldorf, Bujattigasse;2
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
