start;end;time
Hütteldorf, Bujattigasse;Satzberggasse;1
Satzberggasse;Rettichgasse;1
Rettichgasse;Deutschordenstraße;1
Deutschordenstraße;Baumgarten;1
Baumgarten;Hochsatzengasse;1
Hochsatzengasse;Waidhausenstraße;1
Waidhausenstraße;Seckendorfstraße;1
Seckendorfstraße;Hütteldorfer Str.,Lützoweg;1
Hütteldorfer Str.,Lützoweg;Leyserstraße;2
Leyserstraße;Breitensee;1
Breitensee;Hütteldorfer Straße;2
Hütteldorfer Straße;Johnstraße;2
Johnstraße;Huglgasse;2
Huglgasse;Schweglerstraße;1
Schweglerstraße;Beingasse;1
Beingasse;Urban-Loritz-Platz;3
Urban-Loritz-Platz;Kaiserstr., Westbahnstr.;1
Kaiserstr., Westbahnstr.;Zieglergasse;1
Zieglergasse;Neubaug., Westbahnstr.;2
Neubaug., Westbahnstr.;Siebensterngasse;1
Siebensterngasse;Stiftgasse;1
Stiftgasse;Volkstheater;2
Volkstheater;Ring, Volkstheater;1
